"city08","co2TailpipeGpm","cylinders","displ","drive","fuelType1","highway08","trany","VClass","year","tCharger","sCharger","startStop"
21,386.3913043478,4,2.5,"Front-Wheel Drive","Regular Gasoline",26,"Automatic","Midsize Car",1993,"N","N","N"
22,355.48,4,2.5,"Front-Wheel Drive","Regular Gasoline",29,"Manual","Midsize Car",1993,"N","N","N"
18,444.35,6,3,"Front-Wheel Drive","Regular Gasoline",24,"Automatic","Midsize Car",1993,"N","N","N"
18,423.1904761905,6,3,"Front-Wheel Drive","Regular Gasoline",26,"Automatic","Midsize Car",1993,"N","N","N"
18,423.1904761905,6,3,"Front-Wheel Drive","Regular Gasoline",27,"Automatic","Midsize Car",1993,"N","N","N"
16,467.7368421053,6,3,"Front-Wheel Drive","Premium Gasoline",24,"Manual","Midsize Car",1993,"N","N","N"
10,888.7,8,5.2,"Rear-Wheel Drive","Regular Gasoline",11,"Automatic","Van",1985,"N","N","N"
17,444.35,6,3.8,"Front-Wheel Drive","Regular Gasoline",25,"Automatic","Midsize Car",1993,"N","N","N"
17,444.35,6,3.8,"Rear-Wheel Drive","Regular Gasoline",24,"Automatic","Midsize Car",1993,"N","N","N"
15,522.7647058824,6,3.8,"Rear-Wheel Drive","Premium Gasoline",21,"Automatic","Midsize Car",1993,"N","Y","N"
15,493.7222222222,6,3.8,"Rear-Wheel Drive","Premium Gasoline",22,"Manual","Midsize Car",1993,"N","Y","N"
15,493.7222222222,8,5,"Rear-Wheel Drive","Regular Gasoline",22,"Automatic","Midsize Car",1993,"N","N","N"
18,444.35,4,2,"Front-Wheel Drive","Regular Gasoline",25,"Automatic","Midsize Car",1993,"N","N","N"
18,444.35,4,2,"Front-Wheel Drive","Regular Gasoline",24,"Manual","Midsize Car",1993,"N","N","N"
16,493.7222222222,6,3,"Front-Wheel Drive","Regular Gasoline",22,"Automatic","Midsize Car",1993,"N","N","N"
15,522.7647058824,8,4.5,"Rear-Wheel Drive","Premium Gasoline",20,"Automatic","Midsize Car",1993,"N","N","N"
14,592.4666666667,8,4.5,"Rear-Wheel Drive","Premium Gasoline",18,"Automatic","Midsize Car",1993,"N","N","N"
10,888.7,8,5.2,"Rear-Wheel Drive","Regular Gasoline",11,"Automatic","Van",1985,"N","N","N"
16,493.7222222222,8,4,"Rear-Wheel Drive","Premium Gasoline",22,"Automatic","Midsize Car",1993,"N","N","N"
17,467.7368421053,6,3.8,"Rear-Wheel Drive","Regular Gasoline",24,"Automatic","Midsize Car",1993,"N","N","N"
